"DHB","Population","Full_IM","Rate","group","breakdown","from_file","until_month","until_year","until_month_n","until_year_n"
"Auckland",1492,1216,0.815013,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",685,459,0.670073,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",1461,1256,0.859685,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",919,790,0.85963,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",2040,1474,0.722549,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",493,381,0.772819,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",481,400,0.831601,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",332,255,0.768072,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",495,403,0.814141,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",365,304,0.832877,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",538,371,0.689591,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",150,125,0.833333,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",860,717,0.833721,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",183,116,0.63388,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",379,280,0.738786,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",1271,865,0.680566,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",104,93,0.894231,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",1805,1386,0.767867,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
